2021-01-20 11:24:12#1024#764#661#17
2021-01-20 11:25:06#1024#764#662#17
2021-01-20 11:25:36#1024#764#662#17
2021-01-20 11:26:06#1024#765#662#18
2021-01-20 11:26:36#1024#766#662#18
2021-01-20 11:27:06#1024#766#662#18
2021-01-20 11:27:36#1024#765#662#17
2021-01-20 11:28:06#1024#764#662#18
2021-01-20 11:28:36#1024#765#662#18
2021-01-20 11:29:06#1024#765#662#18
2021-01-20 11:32:38#1024#765#662#18
2021-01-20 11:33:42#1024#765#662#17
2021-01-20 11:38:10#1024#758#655#12
2021-01-20 11:39:10#1024#765#662#18
2021-01-20 11:40:10#1024#764#662#18
2021-01-20 11:41:10#1024#765#662#18
2021-01-20 11:42:10#1024#765#662#18
2021-01-20 11:44:13#1024#764#662#17
2021-01-20 11:45:11#1024#765#662#17
2021-01-20 11:46:14#1024#764#662#18
2021-01-20 11:47:14#1024#764#662#17
2021-01-20 11:58:13#1024#765#662#18
2021-01-20 12:00:12#1024#764#662#17
2021-01-20 12:02:10#1024#765#662#17
2021-01-20 12:03:12#1024#765#662#17
2021-01-20 12:09:16#1024#765#662#18
2021-01-20 12:11:14#1024#764#662#17
2021-01-20 12:12:12#1024#764#662#18
2021-01-20 12:17:14#1024#765#662#18
2021-01-20 12:29:10#1024#760#656#12
2021-01-29 20:45:17#1003#687#593#22
2021-01-29 20:45:27#1003#688#593#22
2021-01-29 20:45:37#1001#687#592#22
2021-01-29 20:45:47#1003#688#594#21
2021-01-29 20:45:57#1001#687#593#21
2021-01-29 20:46:07#1003#688#594#22
2021-01-29 20:46:17#994#680#586#21
2021-01-29 20:46:27#985#668#576#19
2021-01-29 20:46:37#990#676#582#25
2021-01-29 20:46:47#1024#722#624#27
2021-01-29 20:46:57#963#653#557#19
2021-01-29 20:47:07#1000#686#591#25
2021-01-29 20:47:17#990#677#583#25
2021-01-29 20:47:27#989#677#582#24
2021-01-29 20:47:37#985#672#578#24
2021-01-29 20:47:47#974#666#571#25
2021-01-29 20:47:57#972#664#569#24
2021-01-29 20:48:07#968#660#566#24
2021-01-29 20:48:17#877#661#568#24
2021-01-29 20:48:27#926#655#562#24
2021-01-29 20:48:37#962#653#559#24
2021-01-29 20:48:47#961#650#557#24
2021-01-29 20:48:57#955#646#553#24
2021-01-29 20:49:07#956#646#554#22
2021-01-29 20:49:17#960#649#556#24
2021-01-29 20:49:27#960#648#555#24
2021-01-29 20:49:37#975#665#570#24
2021-01-29 20:49:47#980#666#572#24
2021-01-29 20:49:57#979#667#573#24
2021-01-29 20:50:07#981#668#576#24
2021-01-29 20:50:17#982#669#576#24
2021-01-29 20:50:27#985#669#577#24
2021-01-29 20:50:37#985#672#577#24
2021-01-29 20:50:47#985#672#577#24
2021-01-29 20:50:57#986#672#577#24
2021-01-29 20:51:07#986#673#578#24
2021-01-29 20:51:17#980#665#570#16
2021-01-29 20:51:27#987#673#578#24
2021-01-29 20:51:37#987#673#578#24
2021-01-29 20:51:47#952#645#545#15
2021-01-29 20:51:57#987#673#579#25
2021-01-29 20:52:07#987#674#580#24
2021-01-29 20:52:17#987#674#580#25
2021-01-29 20:52:27#987#674#580#24
